Periodo;AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA;PESCA Y SERVICIOS CONEXOS;EXPLOTACION  DE  MINAS  Y  CANTERAS;INDUSTRIA MANUFACTURERA;ELECTRICIDAD, GAS Y AGUA;CONSTRUCCION;COMERCIO AL POR MAYOR Y AL POR MENOR;HOTELERIA Y RESTAURANTES ;SERVICIOS DE TRANSPORTE, DE ALMACENAMIENTO Y DE COMUNICACIONES;INTERMEDIACION FINANCIERA Y OTROS SERVICIOS FINANCIEROS ;SERVICIOS INMOBILIARIOS, EMPRESARIALES Y DE ALQUILER;ENSEÑANZA;SERVICIOS SOCIALES Y DE SALUD;SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES N.C.P.;;Suma de remuneraciones mensuales por grupo de actividad. Nominales. En pesos
jun-12;35.005;#¡VALOR!;121.068;69.180;112.657;50.571;53.031;39.238;71.220;95.223;44.015;33.895;53.579;51.792;;
jul-12;24.553;#¡VALOR!;83.356;49.880;78.661;43.323;36.632;27.726;52.414;64.267;32.637;25.233;38.269;36.785;;
ago-12;24.087;#¡VALOR!;84.622;49.690;76.962;39.131;35.916;28.003;51.649;64.686;32.201;24.789;38.237;36.651;;
sept-12;24.095;#¡VALOR!;87.317;48.649;82.347;37.593;36.011;27.089;51.104;61.901;32.149;24.363;38.719;36.738;;
oct-12;24.140;#¡VALOR!;90.814;50.837;78.911;38.516;35.630;27.834;51.437;63.708;32.569;24.325;38.383;36.628;;
nov-12;26.039;#¡VALOR!;90.945;50.014;77.292;38.575;37.115;27.676;52.476;64.908;32.973;24.041;38.038;36.824;;
dic-12;36.505;#¡VALOR!;130.808;76.486;113.334;52.883;54.576;37.918;73.825;92.740;44.981;33.692;57.966;54.080;;
ene-13;25.997;#¡VALOR!;97.678;51.790;93.181;36.387;37.700;27.658;53.216;69.385;33.041;23.876;43.434;38.123;;
feb-13;25.626;#¡VALOR!;99.105;47.579;87.267;35.328;37.152;27.607;50.933;69.892;32.301;23.161;39.262;37.059;;
mar-13;25.277;#¡VALOR!;97.669;49.465;95.530;36.754;35.743;27.121;51.797;71.759;31.853;24.806;38.066;37.025;;
abr-13;25.385;#¡VALOR!;88.154;48.405;81.296;37.419;35.556;27.475;51.989;61.889;32.021;25.475;38.998;37.829;;
may-13;25.279;#¡VALOR!;95.021;48.882;84.248;37.817;38.014;28.171;52.922;76.724;33.169;25.293;37.340;37.759;;
jun-13;36.051;#¡VALOR!;125.945;70.284;116.603;51.961;54.320;39.623;73.870;99.478;45.244;34.739;54.584;53.691;;
jul-13;24.976;#¡VALOR!;90.648;51.703;83.113;39.739;37.256;28.690;55.291;63.927;33.234;24.970;37.712;38.037;;
ago-13;24.165;#¡VALOR!;85.052;49.249;78.192;37.745;36.436;28.249;53.204;64.461;31.404;24.776;38.332;37.460;;
sept-13;24.307;#¡VALOR!;86.794;49.232;85.460;36.324;36.034;27.709;52.700;64.022;32.214;24.804;38.776;37.427;;
oct-13;24.424;#¡VALOR!;86.943;49.832;78.703;36.200;35.392;27.785;51.580;62.788;31.304;24.504;38.168;36.872;;
nov-13;25.270;#¡VALOR!;87.058;49.448;76.793;35.542;36.235;27.153;51.789;68.949;31.293;24.010;37.716;36.699;;
dic-13;34.792;#¡VALOR!;126.870;74.566;113.295;48.872;52.154;36.590;71.757;89.891;43.759;33.467;57.058;52.837;;
ene-14;24.639;#¡VALOR!;91.918;48.685;#¡VALOR!;33.378;35.619;25.220;50.664;69.065;31.119;23.168;41.216;35.976;;
feb-14;23.580;#¡VALOR!;84.322;43.458;#¡VALOR!;30.590;34.436;23.781;48.368;63.913;29.803;22.295;36.202;34.812;;
mar-14;23.268;#¡VALOR!;98.786;45.112;#¡VALOR!;31.630;33.603;24.003;49.511;64.524;29.730;23.289;35.307;34.338;;
abr-14;22.961;#¡VALOR!;78.109;44.567;#¡VALOR!;33.029;35.906;23.452;48.167;79.230;30.786;24.547;35.115;35.266;;
may-14;22.734;#¡VALOR!;87.142;44.714;#¡VALOR!;34.295;35.673;23.709;47.517;63.064;30.577;24.374;34.442;34.780;;
jun-14;32.063;#¡VALOR!;118.735;64.290;#¡VALOR!;44.759;50.945;32.927;66.198;90.968;41.599;33.009;51.041;49.323;;
jul-14;22.627;#¡VALOR!;85.998;46.393;#¡VALOR!;34.039;37.124;24.686;51.622;60.758;31.832;24.017;37.213;35.942;;
ago-14;22.152;#¡VALOR!;84.843;46.302;#¡VALOR!;33.630;34.147;25.399;50.316;59.763;30.643;23.987;36.486;35.025;;
sept-14;21.512;#¡VALOR!;85.713;45.638;#¡VALOR!;32.918;35.349;24.200;50.110;60.632;30.673;23.638;35.963;34.891;;
oct-14;22.783;#¡VALOR!;87.354;46.471;#¡VALOR!;33.109;35.230;24.076;49.920;63.714;31.012;23.474;37.909;34.682;;
nov-14;23.931;#¡VALOR!;83.057;46.328;#¡VALOR!;31.693;36.867;24.853;49.822;67.354;31.670;23.276;37.892;35.150;;
dic-14;34.130;#¡VALOR!;133.836;72.785;#¡VALOR!;46.344;51.206;34.323;70.584;87.939;43.522;32.836;55.802;51.068;;
ene-15;24.039;#¡VALOR!;103.452;48.979;#¡VALOR!;31.436;35.573;25.105;51.260;75.911;31.845;23.537;41.222;37.124;;
feb-15;24.075;#¡VALOR!;96.926;45.879;#¡VALOR!;30.431;34.973;24.868;50.300;66.736;31.040;23.509;38.108;36.086;;
mar-15;23.729;#¡VALOR!;101.561;47.202;#¡VALOR!;31.008;34.113;24.515;51.118;68.159;30.516;25.496;37.097;35.615;;
abr-15;23.806;#¡VALOR!;88.823;46.159;#¡VALOR!;30.664;33.646;24.328;49.830;59.576;30.256;26.246;36.768;35.848;;
may-15;23.973;#¡VALOR!;91.310;45.697;#¡VALOR!;32.390;37.655;24.974;49.049;59.812;31.603;25.902;36.621;36.804;;
jun-15;34.093;#¡VALOR!;126.310;68.827;#¡VALOR!;47.220;53.262;36.349;69.211;126.680;44.415;35.763;53.146;52.456;;
jul-15;24.064;#¡VALOR!;89.402;48.466;#¡VALOR!;32.626;37.928;26.568;54.513;66.684;32.849;26.034;39.283;37.740;;
ago-15;23.096;#¡VALOR!;88.949;48.386;#¡VALOR!;32.968;35.503;26.645;53.534;65.135;30.296;26.078;39.908;37.496;;
sept-15;23.456;#¡VALOR!;87.217;48.766;#¡VALOR!;33.197;37.057;26.416;53.529;65.470;32.024;25.859;39.198;37.424;;
oct-15;23.671;#¡VALOR!;88.474;48.860;#¡VALOR!;32.913;35.144;26.189;52.547;67.345;29.814;25.695;38.670;37.205;;
nov-15;25.462;#¡VALOR!;84.333;48.615;#¡VALOR!;32.615;35.977;26.039;52.754;76.043;30.005;25.348;40.250;37.233;;
dic-15;34.841;#¡VALOR!;128.677;73.900;#¡VALOR!;44.936;51.872;35.683;72.770;93.537;43.508;35.181;57.824;53.507;;
ene-16;23.956;#¡VALOR!;93.473;47.207;97.286;30.106;34.849;24.338;51.393;75.738;30.640;24.477;41.244;37.166;;
feb-16;23.523;#¡VALOR!;85.934;45.200;83.122;29.121;33.907;23.559;50.396;68.922;29.837;23.393;37.685;35.682;;
mar-16;22.912;#¡VALOR!;91.043;45.727;84.776;28.950;33.328;23.574;49.390;61.797;29.422;26.141;36.459;35.270;;
abr-16;22.475;#¡VALOR!;75.441;43.532;79.203;30.077;34.927;22.608;46.916;69.482;29.330;25.050;35.457;34.809;;
may-16;22.131;#¡VALOR!;76.290;42.689;75.373;30.381;34.178;22.167;45.411;76.331;28.990;24.081;34.438;33.967;;
jun-16;30.738;#¡VALOR!;108.982;62.027;105.932;40.803;48.193;32.998;63.163;91.670;40.032;32.651;51.552;48.361;;
jul-16;21.890;#¡VALOR!;84.861;44.027;73.355;29.589;33.063;24.138;47.100;60.011;29.232;24.089;38.686;34.780;;
ago-16;23.824;#¡VALOR!;80.489;45.225;73.565;30.692;32.944;24.221;48.359;61.232;28.983;24.129;37.141;34.597;;
sept-16;23.494;#¡VALOR!;79.706;44.407;82.505;29.440;32.688;23.181;48.699;62.428;28.551;24.083;37.071;35.092;;
oct-16;24.362;#¡VALOR!;80.741;44.909;81.326;30.798;33.864;23.316;47.870;65.904;29.410;23.805;37.266;35.593;;
nov-16;24.005;#¡VALOR!;78.794;45.542;75.891;30.720;33.946;22.811;49.161;74.440;29.405;23.632;38.634;35.176;;
dic-16;35.509;#¡VALOR!;123.925;71.178;114.326;43.468;50.228;32.410;72.178;98.232;41.659;33.686;59.622;52.479;;
ene-17;24.586;#¡VALOR!;88.778;47.700;98.111;30.980;35.620;23.437;52.901;75.292;30.818;24.057;43.544;39.001;;
feb-17;23.801;#¡VALOR!;84.890;44.076;85.392;29.684;34.583;23.441;50.037;79.588;29.829;23.293;38.707;36.988;;
mar-17;23.534;#¡VALOR!;90.659;45.760;90.883;30.950;34.221;23.326;50.035;69.440;29.412;23.906;37.717;36.548;;
abr-17;23.428;#¡VALOR!;75.517;43.826;81.081;29.549;35.016;23.775;48.752;65.218;29.670;24.770;37.448;36.882;;
may-17;23.737;#¡VALOR!;76.677;45.199;79.340;32.892;34.742;23.809;48.160;66.892;29.462;24.630;36.810;36.875;;
jun-17;33.495;#¡VALOR!;117.768;66.777;118.791;44.186;50.782;34.743;68.543;93.789;41.628;34.079;54.203;53.179;;
jul-17;23.532;#¡VALOR!;80.097;47.398;80.241;33.046;36.335;24.817;49.437;63.920;31.114;25.065;40.572;37.401;;
ago-17;23.343;#¡VALOR!;78.026;46.131;77.321;33.529;35.960;24.476;50.405;64.659;30.864;24.484;39.103;37.322;;
sept-17;22.962;#¡VALOR!;77.952;45.491;83.179;31.947;35.605;23.634;48.887;63.137;30.164;24.683;39.029;37.181;;
oct-17;27.968;#¡VALOR!;80.498;47.284;84.226;32.535;35.328;23.519;48.511;68.623;30.618;24.389;40.018;37.294;;
nov-17;24.796;#¡VALOR!;79.079;46.848;79.329;32.708;35.201;23.485;49.438;76.228;30.379;24.179;39.815;37.141;;
dic-17;35.560;#¡VALOR!;117.837;70.552;116.232;44.699;50.919;33.070;69.042;92.054;42.196;33.725;57.362;53.368;;
ene-18;24.417;#¡VALOR!;90.687;47.353;92.887;31.436;35.568;24.125;51.521;84.538;30.586;24.000;43.821;38.268;;
feb-18;23.628;#¡VALOR!;83.469;43.721;85.189;30.414;34.790;23.851;48.785;66.183;29.828;23.259;39.570;36.723;;
mar-18;23.639;#¡VALOR!;88.706;45.029;92.042;31.945;34.037;23.614;50.682;65.639;29.540;23.443;38.400;35.817;;
abr-18;23.348;#¡VALOR!;78.189;43.678;81.701;32.492;35.113;23.203;49.406;63.841;29.927;23.797;37.908;36.208;;
may-18;22.962;#¡VALOR!;83.158;44.411;79.320;34.135;34.456;23.634;48.433;69.537;29.886;23.219;37.178;36.243;;
jun-18;32.004;#¡VALOR!;110.881;62.790;109.822;43.861;49.252;33.148;65.461;88.047;40.375;31.453;53.234;50.474;;
jul-18;22.283;#¡VALOR!;76.455;43.421;78.508;31.078;33.222;23.736;46.902;62.107;28.847;22.606;37.702;34.556;;
ago-18;21.578;#¡VALOR!;73.078;42.620;73.739;32.152;32.719;23.216;46.535;59.820;28.826;21.916;37.624;34.298;;
sept-18;23.525;#¡VALOR!;71.966;40.131;72.815;29.581;31.089;21.652;43.653;59.949;27.047;21.165;35.921;32.729;;
oct-18;21.975;#¡VALOR!;71.302;40.684;71.320;30.230;31.545;20.948;41.934;60.681;26.719;20.924;35.255;32.495;;
nov-18;21.716;#¡VALOR!;73.834;40.474;69.810;30.172;32.218;21.811;43.585;75.503;27.560;20.958;36.341;33.050;;
dic-18;30.794;#¡VALOR!;106.450;61.818;102.426;42.584;45.431;29.329;61.175;86.185;38.016;29.919;51.669;47.082;;
ene-19;22.248;#¡VALOR!;87.433;42.336;82.984;30.554;33.322;21.286;46.629;69.784;28.626;21.405;38.285;34.660;;
feb-19;21.167;#¡VALOR!;83.486;38.317;76.200;28.592;31.607;19.576;43.325;67.263;27.204;21.078;34.166;32.800;;
mar-19;22.889;#¡VALOR!;82.400;39.621;82.527;29.393;31.652;19.678;44.940;60.385;27.343;21.258;33.837;32.593;;
abr-19;21.872;#¡VALOR!;73.348;39.611;76.369;28.696;30.627;19.678;42.689;57.283;26.932;21.781;33.857;32.280;;
may-19;21.484;#¡VALOR!;79.582;39.729;72.066;31.709;30.777;20.464;41.987;69.143;26.872;21.110;33.257;33.812;;
jun-19;30.207;#¡VALOR!;106.966;57.018;103.775;42.081;44.431;30.049;58.389;85.132;37.452;30.057;47.956;47.427;;
jul-19;21.333;#¡VALOR!;79.360;40.728;71.980;30.403;30.973;20.998;44.704;61.197;27.307;21.854;35.132;33.379;;
ago-19;22.706;#¡VALOR!;74.854;40.041;70.212;31.425;30.134;20.856;43.905;59.942;26.795;21.119;34.520;32.857;;
sept-19;22.150;#¡VALOR!;72.576;38.728;72.107;29.477;29.872;19.287;41.905;56.611;26.136;20.534;33.729;31.747;;
oct-19;22.635;#¡VALOR!;74.478;40.682;72.599;30.796;30.056;20.715;43.105;70.263;26.996;20.878;34.353;32.434;;
nov-19;21.622;#¡VALOR!;72.741;38.520;68.509;31.126;29.444;19.996;41.509;71.792;26.198;20.317;33.824;31.714;;
dic-19;29.945;#¡VALOR!;106.060;58.190;100.617;42.789;41.924;27.276;57.132;85.044;36.437;28.477;48.426;45.223;;
ene-20;21.200;#¡VALOR!;92.358;40.917;84.137;32.193;31.389;20.336;45.462;67.589;27.797;20.834;36.167;33.955;;
feb-20;22.877;#¡VALOR!;87.762;39.386;80.197;32.708;31.529;20.726;45.354;68.183;27.354;20.597;34.701;33.911;;
mar-20;22.990;#¡VALOR!;82.085;39.156;78.060;31.074;31.140;19.749;43.458;63.501;26.894;20.853;33.959;32.757;;
abr-20;23.368;#¡VALOR!;66.736;36.269;71.066;26.625;29.346;16.624;39.248;59.134;26.204;20.923;33.821;30.534;;
may-20;23.561;#¡VALOR!;62.232;35.900;69.750;27.864;29.138;16.583;38.553;58.419;25.720;20.671;33.689;30.454;;
jun-20;33.439;#¡VALOR!;92.373;53.572;99.327;39.793;43.613;24.313;54.437;82.964;36.965;28.722;49.237;43.479;;
jul-20;23.579;#¡VALOR!;66.104;37.982;68.413;27.607;29.504;17.040;38.134;66.390;25.812;20.635;33.146;30.436;;
ago-20;22.701;#¡VALOR!;64.104;37.149;65.935;26.425;28.934;16.741;38.326;62.738;25.343;20.192;34.261;30.511;;
sept-20;23.402;#¡VALOR!;67.530;38.018;71.754;27.004;28.416;16.494;37.901;57.975;25.275;20.137;34.085;29.966;;
oct-20;24.474;#¡VALOR!;68.937;38.384;67.503;27.019;30.529;17.362;38.926;65.850;26.374;20.008;33.720;30.644;;
nov-20;23.631;#¡VALOR!;71.245;38.216;65.843;29.719;29.823;17.853;38.862;70.845;26.195;19.615;32.518;30.443;;
dic-20;33.532;#¡VALOR!;98.367;57.779;97.101;40.393;42.763;24.546;54.230;85.725;36.090;27.999;46.723;43.098;;
ene-21;23.416;#¡VALOR!;87.184;38.927;78.625;27.951;29.976;18.799;41.830;63.042;26.940;19.295;33.952;31.496;;
feb-21;23.090;#¡VALOR!;77.010;36.865;74.176;27.313;30.640;18.856;40.736;71.240;26.545;18.994;31.667;31.138;;
mar-21;22.031;#¡VALOR!;76.812;38.322;77.702;28.462;30.025;18.816;39.553;63.283;26.195;20.062;30.902;31.001;;
abr-21;21.404;#¡VALOR!;68.374;37.432;73.396;28.672;29.818;18.614;39.229;59.874;26.391;19.894;32.679;30.730;;
may-21;21.232;#¡VALOR!;67.737;37.036;65.953;28.279;29.900;18.781;38.091;59.082;26.034;19.724;31.832;30.390;;
jun-21;29.820;#¡VALOR!;98.629;53.783;96.804;38.657;42.803;26.327;53.120;81.964;36.094;26.795;45.716;42.999;;
jul-21;21.060;#¡VALOR!;69.966;38.907;67.002;27.932;29.596;18.887;41.013;57.660;26.379;19.895;34.264;30.943;;
ago-21;23.298;#¡VALOR!;68.105;38.447;65.460;27.816;30.017;19.334;41.713;59.160;26.782;19.790;32.965;31.803;;
sept-21;23.164;#¡VALOR!;69.590;37.766;69.965;27.960;29.433;18.814;41.250;57.591;26.337;19.871;35.743;31.330;;
oct-21;24.059;#¡VALOR!;68.407;38.820;70.019;28.536;29.458;19.368;39.928;66.199;26.763;19.979;34.649;31.510;;
nov-21;23.777;#¡VALOR!;68.329;38.236;68.637;28.783;29.878;19.322;42.568;71.546;26.843;20.077;35.743;31.843;;
dic-21;33.538;#¡VALOR!;107.309;58.769;100.994;40.311;42.058;26.320;59.541;84.012;37.149;28.151;51.276;45.649;;
ene-22;24.494;#¡VALOR!;78.934;39.157;85.059;27.448;30.748;19.934;42.775;65.528;27.934;20.073;35.522;32.837;;
feb-22;22.053;#¡VALOR!;81.173;37.329;76.967;27.298;30.374;19.479;41.666;70.843;26.964;19.415;34.378;31.240;;
mar-22;22.332;#¡VALOR!;86.155;38.736;80.305;29.331;30.319;19.895;41.864;64.892;27.232;20.645;33.683;31.965;;
abr-22;21.405;#¡VALOR!;75.183;37.701;73.494;27.497;30.097;19.283;41.048;56.327;27.237;20.430;32.352;31.994;;
may-22;21.025;#¡VALOR!;72.977;37.833;67.710;29.048;30.121;19.570;43.137;71.957;27.613;19.847;33.305;31.537;;
jun-22;29.697;#¡VALOR!;104.244;53.552;99.191;40.878;42.571;26.052;57.533;83.674;37.475;27.594;49.735;44.765;;
jul-22;21.819;#¡VALOR!;70.965;37.608;67.228;27.081;28.621;19.104;39.830;59.210;26.695;19.607;32.445;30.662;;
ago-22;23.020;#¡VALOR!;69.605;36.995;65.531;27.395;29.243;20.087;39.394;58.360;26.660;19.273;34.100;31.058;;
sept-22;22.262;#¡VALOR!;72.124;37.122;69.736;27.763;29.219;19.569;40.234;56.151;26.682;19.687;33.697;30.901;;
oct-22;22.439;#¡VALOR!;69.639;36.712;68.759;28.164;28.454;18.764;39.148;67.417;26.308;19.776;32.568;30.148;;
nov-22;21.880;#¡VALOR!;71.270;36.890;69.724;29.713;28.563;18.853;42.281;71.636;26.944;20.064;35.085;31.160;;
dic-22;34.761;#¡VALOR!;111.840;59.685;103.479;43.186;41.626;28.669;60.499;84.143;38.434;29.092;52.435;46.595;;
ene-23;22.307;#¡VALOR!;79.940;39.294;86.983;29.644;27.991;19.948;43.205;60.898;28.350;20.572;34.993;32.094;;
feb-23;21.598;#¡VALOR!;87.391;36.958;76.198;28.953;28.772;19.252;43.687;61.244;27.934;20.048;33.291;31.693;;
mar-23;21.822;#¡VALOR!;91.498;38.630;81.245;30.145;28.849;19.657;43.737;64.178;27.921;21.240;32.103;31.444;;
abr-23;20.900;#¡VALOR!;73.141;36.987;71.874;29.372;29.882;19.526;42.272;63.158;28.297;20.906;32.756;31.939;;
may-23;20.531;#¡VALOR!;71.905;36.685;69.362;30.254;29.332;21.575;42.063;60.737;27.827;20.966;32.340;32.040;;
jun-23;29.221;#¡VALOR!;104.402;54.517;99.663;41.074;41.872;30.921;58.673;88.677;38.080;28.927;47.811;45.253;;
jul-23;20.759;#¡VALOR!;79.950;38.641;69.751;30.332;29.641;23.055;42.465;60.596;28.102;21.531;34.111;32.573;;
ago-23;24.281;#¡VALOR!;73.345;38.470;66.963;30.816;29.863;22.537;41.780;57.940;28.010;20.639;32.085;31.921;;
sept-23;22.898;#¡VALOR!;73.097;37.064;67.703;29.280;28.656;20.423;41.660;60.721;27.693;20.819;32.423;30.808;;
oct-23;22.308;#¡VALOR!;72.003;37.560;70.356;29.402;29.420;20.592;41.512;67.546;27.886;20.349;31.910;30.466;;
nov-23;21.797;#¡VALOR!;69.199;36.345;65.757;29.255;28.936;18.913;41.596;73.449;27.378;19.310;32.434;29.853;;
dic-23;27.873;#¡VALOR!;92.864;49.529;88.037;35.664;37.120;23.610;49.775;79.227;33.717;23.177;42.650;37.780;;
ene-24;18.811;#¡VALOR!;80.587;34.342;71.513;25.259;27.679;16.227;34.742;67.225;26.594;15.367;27.065;26.601;;
feb-24;19.245;#¡VALOR!;82.534;34.183;68.870;23.608;28.287;15.853;35.399;67.259;26.582;15.502;28.114;26.728;;
mar-24;20.148;#¡VALOR!;79.677;33.835;67.739;25.040;26.799;15.832;37.379;59.068;24.769;15.732;28.144;26.245;;
abr-24;20.672;#¡VALOR!;75.416;36.575;69.670;25.106;27.442;17.387;39.787;58.455;27.562;16.226;27.166;28.284;;
may-24;20.971;#¡VALOR!;72.377;35.344;65.021;27.902;27.059;20.507;38.127;62.207;26.976;17.409;27.772;28.845;;
jun-24;31.307;#¡VALOR!;105.700;51.826;97.355;38.389;39.951;30.768;53.130;83.410;37.691;23.819;42.748;42.434;;
jul-24;22.541;#¡VALOR!;74.886;38.061;66.715;27.071;28.039;21.890;39.410;60.211;28.107;18.163;30.073;29.952;;
ago-24;22.186;#¡VALOR!;73.751;37.373;65.527;27.160;27.706;22.281;39.609;60.619;28.074;18.278;29.817;30.357;;
sept-24;22.230;#¡VALOR!;72.975;36.997;69.441;27.253;27.679;22.526;39.425;59.202;27.747;19.015;30.749;30.796;;
oct-24;22.841;#¡VALOR!;74.166;38.009;69.710;28.382;28.735;24.131;40.299;68.585;28.902;19.250;31.281;31.465;;
nov-24;22.465;#¡VALOR!;73.521;37.541;69.517;29.630;28.581;23.862;40.719;75.578;29.343;19.367;31.310;31.829;;
dic-24;32.536;#¡VALOR!;110.115;57.907;103.689;41.720;42.402;34.345;57.702;87.782;41.488;27.796;46.536;46.614;;
ene-25;23.275;#¡VALOR!;86.231;39.892;90.328;29.693;30.108;24.178;43.624;65.992;31.094;19.752;32.280;33.355;;
feb-25;22.789;#¡VALOR!;93.457;37.876;81.138;28.416;29.234;24.019;42.396;72.360;30.296;20.104;31.379;32.779;;
mar-25;22.985;#¡VALOR!;82.385;38.972;82.664;29.174;29.464;24.543;43.058;64.322;30.021;20.312;31.274;32.868;;
abr-25;23.372;#¡VALOR!;87.558;38.318;75.902;28.858;29.177;24.041;42.490;62.228;29.777;20.496;31.064;32.166;;
may-25;23.107;#¡VALOR!;71.686;37.732;71.464;28.795;28.885;23.326;40.414;62.299;28.811;20.728;30.498;31.832;;
jun-25;33.350;#¡VALOR!;109.294;55.105;108.327;40.924;42.763;34.208;57.400;88.243;41.198;29.078;46.261;47.171;;
