A - Agricultura, ganadería, caza y silvicultura ;B - Pesca;C - Explotación de minas y canteras;D - Industria manufacturera;E - Electricidad, gas y agua;F - Construcción;G - Comercio mayorista, minorista y reparaciones;H - Hoteles y restaurantes;I - Transporte, almacenamiento y comunicaciones;J - Intermediación financiera;K - Actividades inmobiliarias, empresariales y de alquiler;M - Enseñanza;N - Servicios sociales y de salud;O - Otras actividades de servicios comunitarias, sociales y personales;P - Hogares privados con servicio doméstico;;;;;;;
0,330414333;0,015187667;0,068004;1,176933667;0,054436333;0,401670333;1,005308333;0,218988;0,486921;0,142365;0,810915667;0,322163;0,233573667;0,340031333;0,001475;;;;;;;
0,326115;0,015215333;0,066953667;1,15948;0,054927;0,396049;1,005940667;0,220104333;0,485622333;0,139740333;0,801908667;0,323082333;0,236158;0,340060333;0,001326667;;;;;;;
0,327769;0,014704;0,066702667;1,161707333;0,055662667;0,392063667;1,008116;0,218455667;0,484682;0,139441667;0,805454;0,324790333;0,238695667;0,340736333;0,001255;;;;;;;
0,327300333;0,014644333;0,066645333;1,167149333;0,056045333;0,387650667;1,013519333;0,222089667;0,486512333;0,139907;0,806170333;0,328124333;0,240525;0,346099333;0,001187667;;;;;;;
0,324348333;0,014546667;0,067144;1,173704333;0,056118;0,390049667;1,021010333;0,223475;0,489774333;0,140902667;0,816027333;0,329234333;0,243225;0,347288;0,001174667;;;;;;;
0,325576333;0,014308;0,067961333;1,185747333;0,056222667;0,391421;1,033947;0,226645;0,494182;0,142439667;0,824259667;0,332413667;0,246284667;0,349940667;0,001102;;;;;;;
0,324977667;0,015195667;0,069101667;1,195112;0,056476;0,397309667;1,045755333;0,229736;0,498595;0,144122333;0,831727;0,335352;0,248772667;0,353594667;0,001098333;;;;;;;
0,32783;0,014631667;0,070064667;1,202482333;0,057049333;0,410651;1,057448333;0,231228333;0,503069667;0,146280667;0,842854;0,337709;0,251568;0,355497333;0,001075;;;;;;;
0,333653333;0,014900333;0,070846333;1,218162333;0,057645333;0,426136333;1,069497333;0,234019667;0,510367;0,14804;0,851223667;0,341581667;0,254821333;0,357723667;0,001083;;;;;;;
0,340175333;0,014861;0,071871667;1,233864333;0,058121333;0,437157333;1,081331667;0,236611333;0,516666667;0,150476;0,859532;0,345416333;0,259112667;0,359942333;0,001015;;;;;;;
0,338166667;0,015076;0,073126;1,245617;0,058518;0,441735333;1,092842;0,240358;0,522307333;0,152968;0,868161;0,349379667;0,262782667;0,359601333;0,000989667;;;;;;;
0,339159667;0,014666;0,074223;1,254708333;0,058938333;0,448094667;1,102131333;0,242777333;0,527218333;0,154734333;0,870740333;0,352545;0,266375333;0,359878333;0,000964667;;;;;;;
0,332112667;0,014381;0,075041;1,254584333;0,059407667;0,441668;1,104464333;0,244586;0,530548667;0,155754;0,867955667;0,355169333;0,268764333;0,362258667;0,000957667;;;;;;;
0,330055333;0,013888667;0,075737;1,252840667;0,059758;0,435072;1,106787;0,247302;0,532327667;0,156653667;0,860334;0,355853333;0,271131333;0,363455333;0,000901;;;;;;;
0,331434667;0,013438333;0,075964333;1,254404333;0,060264;0,424945;1,10742;0,248401;0,533587333;0,157679;0,855821;0,357791333;0,273527;0,364944667;0,000887;;;;;;;
0,331928667;0,013334;0,076376333;1,258778333;0,060973667;0,420742;1,112208;0,250630667;0,535237;0,158401333;0,851316;0,361419;0,275864667;0,366292333;0,000879;;;;;;;
0,335338;0,013140333;0,076960333;1,263954;0,061649333;0,423600667;1,116929;0,252678;0,537155333;0,159164;0,849754;0,363217;0,277755667;0,365792333;0,000919;;;;;;;
0,334021667;0,013247333;0,077873667;1,265073333;0,062383667;0,427263667;1,118033333;0,251285333;0,539711667;0,159572667;0,848170667;0,365684333;0,280002667;0,36606;0,000942333;;;;;;;
0,326733;0,013260333;0,079026667;1,265363333;0,063348;0,427572667;1,120529333;0,253468333;0,542563667;0,159714;0,847777667;0,366324667;0,282109333;0,368132667;0,000871;;;;;;;
0,320954333;0,013400667;0,080317667;1,265420333;0,064258333;0,427386;1,123780333;0,254780333;0,544511333;0,160152333;0,844284667;0,368916;0,284407667;0,368667667;0,000864667;;;;;;;
0,322391;0,012851667;0,082109;1,257209333;0,065024;0,420411;1,125011333;0,256259;0,544428333;0,160328;0,833883;0,369450333;0,286463;0,368458667;0,000900333;;;;;;;
0,324313333;0,013227;0,083798;1,250794333;0,065837333;0,420065667;1,122387667;0,255751333;0,545723667;0,160045667;0,830967667;0,373278333;0,287714;0,368433;0,000885;;;;;;;
0,328819333;0,013352667;0,084964;1,245988;0,066560333;0,424526;1,123331;0,255998667;0,546420333;0,159435;0,827306;0,37689;0,290401;0,369278667;0,000891667;;;;;;;
0,330664667;0,013314333;0,086521333;1,243312667;0,067471;0,431561667;1,123717;0,256817;0,547412;0,158025;0,829390333;0,380749333;0,293646;0,371835333;0,000892333;;;;;;;
0,330269667;0,013113333;0,087858;1,245441;0,068094;0,441598;1,129744333;0,261157333;0,550621667;0,158545667;0,836580667;0,383090667;0,295507667;0,373896667;0,000888667;;;;;;;
0,327265;0,013266667;0,087924667;1,254028;0,068815333;0,457891;1,13951;0,262898333;0,555213333;0,159149;0,843041;0,38839;0,298417667;0,376856333;0,000841;;;;;;;
0,322943;0,012911667;0,087632667;1,257219667;0,069727;0,460699667;1,14539;0,264824667;0,559272;0,160349333;0,849288;0,390286;0,301692;0,377155667;0,000812333;;;;;;;
0,316359667;0,012978333;0,086394;1,254950333;0,070096;0,444533667;1,148836667;0,264902;0,561504667;0,161582;0,851087333;0,391868;0,304093333;0,376830667;0,000807333;;;;;;;
0,315368;0,012875667;0,08473;1,243154333;0,070398667;0,415399;1,152827667;0,264460333;0,561354667;0,162895333;0,839664333;0,394903333;0,306957333;0,378913667;0,000799;;;;;;;
0,316374;0,012694667;0,082596333;1,231141667;0,070455667;0,405546333;1,154255333;0,264769667;0,559450333;0,163444333;0,833145333;0,396786;0,309111667;0,379401333;0,000739333;;;;;;;
0,319933333;0,012621;0,081483333;1,220028;0,070935;0,406522333;1,156040667;0,264724333;0,558195333;0,163272;0,827711333;0,397400667;0,310993667;0,380000333;0,000792667;;;;;;;
0,325214;0,012664333;0,080649667;1,209483333;0,071338;0,413805667;1,161021;0,266437667;0,559668667;0,163155667;0,826624667;0,398671667;0,313645667;0,380730667;0,000794667;;;;;;;
0,322615;0,012861667;0,079134333;1,202520667;0,07227;0,424903;1,162222667;0,266756667;0,558849333;0,163305;0,829718;0,399727;0,316173667;0,382795;0,000818667;;;;;;;
0,320724333;0,012927333;0,077967;1,197018333;0,072570333;0,437759;1,164771667;0,269339333;0,558643;0,163288667;0,831485667;0,402668333;0,318521;0,384487667;0,000740333;;;;;;;
0,321112333;0,012876333;0,077966333;1,192455333;0,073198333;0,450214;1,168824333;0,271897667;0,559453;0,163127333;0,834677667;0,405088667;0,320764;0,386303;0,000798;;;;;;;
0,323166;0,012646;0,078026;1,192629;0,073787333;0,459704333;1,175824;0,273648667;0,560608333;0,163100667;0,838502333;0,406597333;0,323121333;0,387130333;0,000716;;;;;;;
0,323657;0,012924333;0,078096;1,187495667;0,074145667;0,46352;1,177744333;0,272664333;0,560608333;0,163397667;0,840695333;0,407361333;0,324802;0,387104333;0,000721;;;;;;;
0,321783333;0,012851;0,081338333;1,176843333;0,074195;0,463747333;1,175783;0,273658;0,560251;0,163635667;0,842696333;0,409809;0,325975333;0,387216333;0,000669667;;;;;;;
0,324441;0,013160333;0,081701;1,159054;0,074069;0,454115;1,166436667;0,272356667;0,556118667;0,163381667;0,837769667;0,412953333;0,325756;0,387593667;0,000704667;;;;;;;
0,330520333;0,013444;0,082812667;1,137854;0,074132667;0,445979667;1,148684;0,269485667;0,549661333;0,162638;0,830492;0,414238667;0,325506;0,386226667;0,000726667;;;;;;;
0,327445667;0,013578;0,084003667;1,125379667;0,074344667;0,454879333;1,137201667;0,267531333;0,544312667;0,161676333;0,829605;0,413222;0,325386;0,38389;0,000825;;;;;;;
0,329843333;0,012857333;0,084963;1,113298333;0,074393;0,453186667;1,128465;0,267644667;0,541848333;0,160882333;0,828853;0,414279667;0,325098667;0,383312333;0,000842667;;;;;;;
0,327739333;0,013419333;0,086020333;1,103821667;0,074493333;0,439313667;1,123851667;0,267321667;0,538722667;0,160299667;0,829348667;0,414857333;0,325193333;0,383629;0,000848333;;;;;;;
0,327066667;0,013051667;0,085912;1,088748333;0,074319;0,408902333;1,115313333;0,263748;0,536292667;0,159673333;0,826946667;0,414913333;0,325295333;0,381655667;0,000866667;;;;;;;
0,324408667;0,013149333;0,084748;1,084307333;0,073884333;0,382538667;1,112973;0,262519;0,533167;0,159137667;0,825610333;0,412786;0,325687333;0,379799;0,000838333;;;;;;;
0,321489333;0,012795667;0,082838667;1,076799;0,073596;0,327331667;1,098242667;0,240989333;0,524624;0,157652;0,808437;0,402236;0,325354667;0,368216333;0,000706;;;;;;;
0,319535;0,013031;0,080412667;1,083168667;0,073689333;0,319840333;1,093705667;0,227998667;0,51976;0,156619;0,820126667;0,398211;0,327056333;0,363347667;0,000571667;;;;;;;
0,318408;0,013421667;0,079162667;1,093388667;0,073809333;0,333660667;1,091337;0,216012667;0,515471;0,156018333;0,829229;0,395986333;0,327385667;0,361571333;0,000467667;;;;;;;
0,320522667;0,013572333;0,080161;1,100404;0,074122667;0,351801;1,093434333;0,209744333;0,514442;0,155277;0,835898333;0,403702333;0,326978333;0,360771667;0,00036;;;;;;;
0,324445333;0,013702333;0,080953;1,111051667;0,074235667;0,365686667;1,102205;0,208424333;0,514744;0,155005;0,851969333;0,401961333;0,330348;0,363119333;0,000315333;;;;;;;
0,324594;0,014210667;0,081885667;1,114121;0,074266667;0,378199333;1,104414333;0,210212333;0,512237333;0,154404;0,854221333;0,404166667;0,329370667;0,361991;0,000297;;;;;;;
0,321257;0,013663333;0,082790333;1,122591333;0,074390667;0,392253667;1,116118667;0,223444667;0,514034333;0,153893333;0,862266333;0,407782333;0,328318;0,363816333;0,000297333;;;;;;;
0,319147;0,013848;0,083672667;1,135565;0,074549333;0,408369333;1,132921667;0,236904333;0,518177667;0,153397667;0,877878;0,410658333;0,329421;0,367645333;0,000307667;;;;;;;
0,316425667;0,014014667;0,085148667;1,151717333;0,074628667;0,425594333;1,151327;0,250317;0,521008333;0,153086667;0,883901667;0,415297667;0,328522333;0,371383;0,000274;;;;;;;
0,315254667;0,013731;0,087119333;1,163974333;0,075059667;0,437055333;1,167489667;0,264037667;0,524544;0,153420333;0,890475333;0,416783;0,329254;0,373699333;0,000253;;;;;;;
0,313804667;0,013522;0,088987;1,172235;0,075553333;0,450239333;1,181671667;0,270290667;0,526509667;0,152827;0,893246667;0,417931;0,330489667;0,374011333;0,00023;;;;;;;
0,314708333;0,013695;0,090294333;1,180796333;0,075919667;0,460968;1,197699333;0,277657;0,527625333;0,152482667;0,897708667;0,418175;0,331818667;0,375727;0,00022;;;;;;;
0,312036333;0,013834667;0,091947667;1,190736333;0,075891667;0,470961667;1,213128667;0,285277333;0,529224667;0,152746333;0,901870333;0,421638333;0,332827333;0,378235333;0,000186;;;;;;;
0,314217667;0,014599667;0,093601;1,197088;0,076284333;0,46405;1,228061667;0,288745667;0,530898;0,152524;0,905066667;0,423399;0,333822333;0,380062;0,000164;;;;;;;
0,311045667;0,013684667;0,094629667;1,193658333;0,076945;0,438634333;1,23242;0,287917667;0,529211333;0,152177333;0,901740333;0,423195;0,334333;0,379545667;0,000148333;;;;;;;
0,317997333;0,014147;0,095625;1,185196333;0,077127333;0,395409667;1,229242667;0,283244667;0,525436;0,151882;0,893690667;0,421674333;0,333072333;0,376554333;0,000133333;;;;;;;
0,320848333;0,014263333;0,095787;1,172764667;0,076517;0,375138;1,227892667;0,282576667;0,521173333;0,151619333;0,886215333;0,421631;0,331310667;0,374146667;0,000103667;;;;;;;
0,321252667;0,014314;0,095520333;1,166420667;0,07599;0,372847667;1,233069333;0,280724667;0,519213333;0,151613;0,884501667;0,421848;0,330137667;0,371972667;0,00009;;;;;;;
0,322167;0,014615;0,094804667;1,168101333;0,075932333;0,373407333;1,244632333;0,280269333;0,517571333;0,151436;0,888452333;0,422102;0,330013667;0,37065;8,83333E-05;;;;;;;
0,318142667;0,014859333;0,092931667;1,165083;0,075934333;0,379288667;1,250925333;0,278386667;0,516047667;0,151055667;0,891403;0,422839333;0,329864333;0,368876333;0,000116667;;;;;;;
0,320437;0,01416;0,090303667;1,159718333;0,076162;0,379403667;1,257182333;0,280004333;0,516900667;0,150019667;0,896574667;0,422936333;0,330324;0,368125;0,000155;;;;;;;
